class_name,original_train_count,oversampled_train_count,added_rows,oversampled_ratio
Apple__Healthy,1707,1707,0,1.0
Apple__Rotten,2047,2047,0,1.0
Banana__Healthy,1399,1399,0,1.0
Banana__Rotten,1958,1958,0,1.0
Bellpepper__Healthy,428,500,72,1.17
Bellpepper__Rotten,414,500,86,1.21
Carrot__Healthy,433,500,67,1.15
Carrot__Rotten,405,500,95,1.23
Cucumber__Healthy,426,500,74,1.17
Cucumber__Rotten,415,500,85,1.2
Grape__Healthy,140,500,360,3.57
Grape__Rotten,140,500,360,3.57
Guava__Healthy,140,500,360,3.57
Guava__Rotten,140,500,360,3.57
Jujube__Healthy,140,500,360,3.57
Jujube__Rotten,140,500,360,3.57
Mango__Healthy,1269,1269,0,1.0
Mango__Rotten,1573,1573,0,1.0
Orange__Healthy,1452,1452,0,1.0
Orange__Rotten,1530,1530,0,1.0
Pomegranate__Healthy,140,500,360,3.57
Pomegranate__Rotten,140,500,360,3.57
Potato__Healthy,430,500,70,1.16
Potato__Rotten,409,500,91,1.22
Strawberry__Healthy,1122,1122,0,1.0
Strawberry__Rotten,1117,1117,0,1.0
Tomato__Healthy,423,500,77,1.18
Tomato__Rotten,416,500,84,1.2
