model,recommended_action,count
EfficientNetB0 final,discount_or_quick_sale,1
EfficientNetB0 final,manual_review_before_listing,3
EfficientNetB0 final,manual_review_or_discard,2
EfficientNetB0 final,manual_review_required,1
EfficientNetB0 final,normal_sale,4
MobileNetV2 fine-tuned,discount_or_quick_sale,1
MobileNetV2 fine-tuned,manual_review_before_listing,3
MobileNetV2 fine-tuned,manual_review_or_discard,2
MobileNetV2 fine-tuned,normal_sale,5
ResNet50 fine-tuned,discount_or_quick_sale,1
ResNet50 fine-tuned,manual_review_before_listing,4
ResNet50 fine-tuned,manual_review_or_discard,2
ResNet50 fine-tuned,normal_sale,4
