model_label,experiment_slug,model_path,status,test_rows,accuracy,macro_f1,weighted_f1,total_errors,high_confidence_threshold,high_confidence_errors,mean_confidence_on_errors
Baseline CNN,baseline_cnn,D:\UWE\3rd Year\2nd semester\advanced_ai\ai_system\models\baseline_cnn_best.keras,ok,4815,0.7302180685358255,0.673705728395583,0.7214360955498195,1299,0.95,6,0.48285216093063354
Baseline CNN + augmentation,baseline_cnn_aug_only,D:\UWE\3rd Year\2nd semester\advanced_ai\ai_system\models\experiments\baseline_cnn_aug_only.keras,ok,4815,0.7503634475597093,0.6851896800763219,0.7392267643796517,1202,0.95,5,0.4899636209011078
Baseline CNN + aug + oversample,baseline_cnn_aug_oversampled,D:\UWE\3rd Year\2nd semester\advanced_ai\ai_system\models\experiments\baseline_cnn_aug_oversampled.keras,ok,4815,0.7474558670820353,0.7145195175913459,0.7421325277616331,1216,0.95,24,0.5279809236526489
MobileNetV2 head,mobilenetv2_aug_oversampled,D:\UWE\3rd Year\2nd semester\advanced_ai\ai_system\models\experiments\mobilenetv2_aug_oversampled.keras,ok,4815,0.9518172377985462,0.9345455088787821,0.951935845498871,232,0.95,27,0.7022197246551514
MobileNetV2 fine-tuned,mobilenetv2_aug_oversampled_finetuned_wsl,D:\UWE\3rd Year\2nd semester\advanced_ai\ai_system\models\experiments\mobilenetv2_aug_oversampled_finetuned_wsl.keras,ok,4815,0.9597092419522326,0.9440735597901145,0.959643216786439,194,0.95,35,0.7389125823974609
EfficientNetB0 head,efficientnetb0_aug_oversampled,D:\UWE\3rd Year\2nd semester\advanced_ai\ai_system\models\experiments\efficientnetb0_aug_oversampled.keras,ok,4815,0.9665628245067498,0.9532343297629896,0.9663925992154422,161,0.95,9,0.7092846035957336
EfficientNetB0 fine-tuned,efficientnetb0_aug_oversampled_finetuned_wsl,D:\UWE\3rd Year\2nd semester\advanced_ai\ai_system\models\experiments\efficientnetb0_aug_oversampled_finetuned_wsl.keras,ok,4815,0.9721703011422638,0.9613798810966354,0.9720631677554816,134,0.95,11,0.7312559485435486
EfficientNetB0 XAI-corrected,efficientnetb0_xai_corrected,D:\UWE\3rd Year\2nd semester\advanced_ai\ai_system\models\experiments\efficientnetb0_xai_corrected.keras,ok,4815,0.9638629283489096,0.9519695223177017,0.9637346959392311,174,0.95,17,0.7146095037460327
ResNet50 head,resnet50_aug_oversampled,D:\UWE\3rd Year\2nd semester\advanced_ai\ai_system\models\experiments\resnet50_aug_oversampled.keras,ok,4815,0.9694704049844237,0.9615004602619911,0.9693765273110583,147,0.95,19,0.7289385199546814
ResNet50 fine-tuned,resnet50_aug_oversampled_finetuned_wsl,D:\UWE\3rd Year\2nd semester\advanced_ai\ai_system\models\experiments\resnet50_aug_oversampled_finetuned_wsl.keras,ok,4815,0.9715472481827622,0.964980066938213,0.9715233695799814,137,0.95,19,0.7463748455047607
