confidence_review_threshold,margin_review_threshold,rotten_auto_block_threshold,expected_operational_cost,total_operational_cost,false_fresh_count,false_rotten_count,wrong_produce_count,correct_auto_count,manual_review_count,manual_review_rate,auto_decision_rate,evaluated_rows,note
0.5,0.0,0.7,0.142471,686,47,5,44,4606,113,0.023468,0.976532,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.0,0.75,0.146625,706,47,5,38,4580,145,0.030114,0.969886,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.0,0.8,0.150779,726,47,3,34,4552,179,0.037175,0.962825,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.0,0.85,0.15514,747,47,2,32,4527,207,0.042991,0.957009,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.0,0.9,0.167394,806,47,2,20,4456,290,0.060228,0.939772,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.05,0.7,0.142471,686,47,5,44,4606,113,0.023468,0.976532,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.05,0.75,0.146625,706,47,5,38,4580,145,0.030114,0.969886,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.05,0.8,0.150779,726,47,3,34,4552,179,0.037175,0.962825,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.05,0.85,0.15514,747,47,2,32,4527,207,0.042991,0.957009,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.05,0.9,0.167394,806,47,2,20,4456,290,0.060228,0.939772,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.1,0.7,0.142471,686,47,5,44,4606,113,0.023468,0.976532,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.1,0.75,0.146625,706,47,5,38,4580,145,0.030114,0.969886,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.1,0.8,0.150779,726,47,3,34,4552,179,0.037175,0.962825,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.1,0.85,0.15514,747,47,2,32,4527,207,0.042991,0.957009,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.1,0.9,0.167394,806,47,2,20,4456,290,0.060228,0.939772,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.15,0.7,0.142471,686,47,5,44,4606,113,0.023468,0.976532,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.15,0.75,0.146625,706,47,5,38,4580,145,0.030114,0.969886,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.15,0.8,0.150779,726,47,3,34,4552,179,0.037175,0.962825,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.15,0.85,0.15514,747,47,2,32,4527,207,0.042991,0.957009,4815,Cost-sensitive deployment proxy; not a retrained model.
0.5,0.15,0.9,0.167394,806,47,2,20,4456,290,0.060228,0.939772,4815,Cost-sensitive deployment proxy; not a retrained model.
