image_id,image_path,expected_class,model,predicted_class,confidence,top1_top2_margin,full_class_correct,quality_grade,manual_review_required,recommended_action,reason_codes,warnings
hea-app,/mnt/d/UWE/3rd Year/2nd semester/advanced_ai/ai_system/data/raw/custom_test_images/hea-app.jpg,Apple__Healthy,EfficientNetB0 final,Apple__Healthy,0.9895092248916626,0.9791033854708076,True,A,True,normal_sale,HEALTHY_PREDICTION|HIGH_CONFIDENCE|HIGH_CONFIDENCE_PREDICTION|classified_as_healthy|all_grade_a_thresholds_met|image_quality_warning|manual_review_recommended,size_proxy_is_relative_to_image_area_not_physical_size|colour_score_is_lighting_sensitive_proxy|quality_grade_is_rule_based_not_supervised_model_output
hea-app,/mnt/d/UWE/3rd Year/2nd semester/advanced_ai/ai_system/data/raw/custom_test_images/hea-app.jpg,Apple__Healthy,ResNet50 fine-tuned,Apple__Healthy,0.9997101426124572,0.9994202820234932,True,A,True,normal_sale,HEALTHY_PREDICTION|HIGH_CONFIDENCE|HIGH_CONFIDENCE_PREDICTION|classified_as_healthy|all_grade_a_thresholds_met|image_quality_warning|manual_review_recommended,size_proxy_is_relative_to_image_area_not_physical_size|colour_score_is_lighting_sensitive_proxy|quality_grade_is_rule_based_not_supervised_model_output
hea-app,/mnt/d/UWE/3rd Year/2nd semester/advanced_ai/ai_system/data/raw/custom_test_images/hea-app.jpg,Apple__Healthy,MobileNetV2 fine-tuned,Apple__Healthy,0.9811543822288512,0.9623959101736546,True,A,True,normal_sale,HEALTHY_PREDICTION|HIGH_CONFIDENCE|HIGH_CONFIDENCE_PREDICTION|classified_as_healthy|all_grade_a_thresholds_met|image_quality_warning|manual_review_recommended,size_proxy_is_relative_to_image_area_not_physical_size|colour_score_is_lighting_sensitive_proxy|quality_grade_is_rule_based_not_supervised_model_output
hea-ban,/mnt/d/UWE/3rd Year/2nd semester/advanced_ai/ai_system/data/raw/custom_test_images/hea-ban.png,Banana__Healthy,EfficientNetB0 final,Banana__Healthy,0.9996113181114196,0.9992496809863952,True,A,True,normal_sale,HEALTHY_PREDICTION|HIGH_CONFIDENCE|HIGH_CONFIDENCE_PREDICTION|classified_as_healthy|all_grade_a_thresholds_met|image_quality_warning|manual_review_recommended,size_proxy_is_relative_to_image_area_not_physical_size|colour_score_is_lighting_sensitive_proxy|quality_grade_is_rule_based_not_supervised_model_output
hea-ban,/mnt/d/UWE/3rd Year/2nd semester/advanced_ai/ai_system/data/raw/custom_test_images/hea-ban.png,Banana__Healthy,ResNet50 fine-tuned,Banana__Healthy,1.0,0.9999999944639884,True,A,True,normal_sale,HEALTHY_PREDICTION|HIGH_CONFIDENCE|HIGH_CONFIDENCE_PREDICTION|classified_as_healthy|all_grade_a_thresholds_met|image_quality_warning|manual_review_recommended,size_proxy_is_relative_to_image_area_not_physical_size|colour_score_is_lighting_sensitive_proxy|quality_grade_is_rule_based_not_supervised_model_output
hea-ban,/mnt/d/UWE/3rd Year/2nd semester/advanced_ai/ai_system/data/raw/custom_test_images/hea-ban.png,Banana__Healthy,MobileNetV2 fine-tuned,Banana__Healthy,0.9999802112579346,0.999967149821714,True,A,True,normal_sale,HEALTHY_PREDICTION|HIGH_CONFIDENCE|HIGH_CONFIDENCE_PREDICTION|classified_as_healthy|all_grade_a_thresholds_met|image_quality_warning|manual_review_recommended,size_proxy_is_relative_to_image_area_not_physical_size|colour_score_is_lighting_sensitive_proxy|quality_grade_is_rule_based_not_supervised_model_output
hea-pot,/mnt/d/UWE/3rd Year/2nd semester/advanced_ai/ai_system/data/raw/custom_test_images/hea-pot.jpg,Potato__Healthy,EfficientNetB0 final,Potato__Healthy,0.9999759197235109,0.999952311931338,True,A,True,normal_sale,HEALTHY_PREDICTION|HIGH_CONFIDENCE|HIGH_CONFIDENCE_PREDICTION|classified_as_healthy|all_grade_a_thresholds_met|image_quality_warning|manual_review_recommended,size_proxy_is_relative_to_image_area_not_physical_size|colour_score_is_lighting_sensitive_proxy|quality_grade_is_rule_based_not_supervised_model_output
hea-pot,/mnt/d/UWE/3rd Year/2nd semester/advanced_ai/ai_system/data/raw/custom_test_images/hea-pot.jpg,Potato__Healthy,ResNet50 fine-tuned,Potato__Healthy,0.9999768733978271,0.9999539755481236,True,A,True,normal_sale,HEALTHY_PREDICTION|HIGH_CONFIDENCE|HIGH_CONFIDENCE_PREDICTION|classified_as_healthy|all_grade_a_thresholds_met|image_quality_warning|manual_review_recommended,size_proxy_is_relative_to_image_area_not_physical_size|colour_score_is_lighting_sensitive_proxy|quality_grade_is_rule_based_not_supervised_model_output
hea-pot,/mnt/d/UWE/3rd Year/2nd semester/advanced_ai/ai_system/data/raw/custom_test_images/hea-pot.jpg,Potato__Healthy,MobileNetV2 fine-tuned,Potato__Healthy,0.9905897378921508,0.981265247799456,True,A,True,normal_sale,HEALTHY_PREDICTION|HIGH_CONFIDENCE|HIGH_CONFIDENCE_PREDICTION|classified_as_healthy|all_grade_a_thresholds_met|image_quality_warning|manual_review_recommended,size_proxy_is_relative_to_image_area_not_physical_size|colour_score_is_lighting_sensitive_proxy|quality_grade_is_rule_based_not_supervised_model_output
hea-tom,/mnt/d/UWE/3rd Year/2nd semester/advanced_ai/ai_system/data/raw/custom_test_images/hea-tom.jpg,Tomato__Healthy,EfficientNetB0 final,Tomato__Healthy,0.954002857208252,0.9171000458300114,True,A,True,normal_sale,HEALTHY_PREDICTION|HIGH_CONFIDENCE|HIGH_CONFIDENCE_PREDICTION|classified_as_healthy|all_grade_a_thresholds_met|image_quality_warning|manual_review_recommended,size_proxy_is_relative_to_image_area_not_physical_size|colour_score_is_lighting_sensitive_proxy|quality_grade_is_rule_based_not_supervised_model_output
