model,class_name,precision,recall,f1_score,support
EfficientNetB0 final,Bellpepper__Rotten,0.9204545454545454,0.81,0.8617021276595744,100.0
EfficientNetB0 final,Potato__Rotten,0.85,0.8762886597938144,0.8629441624365483,97.0
EfficientNetB0 final,Pomegranate__Rotten,0.7906976744186046,0.9714285714285714,0.8717948717948718,35.0
EfficientNetB0 final,Guava__Rotten,0.8421052631578947,1.0,0.9142857142857144,32.0
EfficientNetB0 final,Carrot__Rotten,0.988095238095238,0.8736842105263158,0.9273743016759776,95.0
ResNet50 fine-tuned,Potato__Rotten,0.8543689320388349,0.9072164948453608,0.88,97.0
ResNet50 fine-tuned,Bellpepper__Rotten,0.88,0.88,0.88,100.0
ResNet50 fine-tuned,Tomato__Rotten,0.9662921348314608,0.8958333333333334,0.9297297297297298,96.0
ResNet50 fine-tuned,Carrot__Rotten,0.9555555555555556,0.9052631578947368,0.9297297297297298,95.0
ResNet50 fine-tuned,Cucumber__Rotten,0.946236559139785,0.9166666666666666,0.9312169312169312,96.0
