customer_id,customer_type,method,rank,product_id,product_name,producer_id,score,score_components,based_on_product_ids,reason_codes,reason_text
C000003,young_professional,co_occurrence_discovery,1,P000096,New Season Potatoes,PR000003,0.916737,"{'cooccurrence': 0.788462, 'seasonality': 0.08, 'segment_popularity': 0.048276, 'diversity_adjustment': 0.0}",P000119|P000097|P000106,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000003,young_professional,co_occurrence_discovery,2,P000126,Mixed Salad Leaves,PR000009,0.837825,"{'cooccurrence': 0.662308, 'seasonality': 0.08, 'segment_popularity': 0.065517, 'diversity_adjustment': 0.03}",P000097|P000119|P000110,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
C000003,young_professional,co_occurrence_discovery,3,P000098,Rosemary Focaccia Slab,PR000005,0.813687,"{'cooccurrence': 0.662308, 'seasonality': 0.08, 'segment_popularity': 0.041379, 'diversity_adjustment': 0.03}",P000083|P000122|P000134,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
C000005,community_group,co_occurrence_discovery,1,P000133,Buttermilk,PR000004,0.951445,"{'cooccurrence': 0.82, 'seasonality': 0.08, 'segment_popularity': 0.051445, 'diversity_adjustment': 0.0}",P000108|P000103|P000092,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000005,community_group,co_occurrence_discovery,2,P000096,New Season Potatoes,PR000003,0.877655,"{'cooccurrence': 0.702857, 'seasonality': 0.08, 'segment_popularity': 0.094798, 'diversity_adjustment': 0.0}",P000101|P000120|P000092,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000005,community_group,co_occurrence_discovery,3,P000125,Bristol Orchard Apple Juice,PR000008,0.80232,"{'cooccurrence': 0.644286, 'seasonality': 0.08, 'segment_popularity': 0.078035, 'diversity_adjustment': 0.0}",P000103|P000120|P000102,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000006,restaurant,co_occurrence_discovery,1,P000125,Bristol Orchard Apple Juice,PR000008,0.927857,"{'cooccurrence': 0.82, 'seasonality': 0.08, 'segment_popularity': 0.027857, 'diversity_adjustment': 0.0}",P000109|P000120|P000103,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000006,restaurant,co_occurrence_discovery,2,P000132,Leek and Onion Box,PR000003,0.926234,"{'cooccurrence': 0.764091, 'seasonality': 0.08, 'segment_popularity': 0.082143, 'diversity_adjustment': 0.0}",P000116|P000102|P000100,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000006,restaurant,co_occurrence_discovery,3,P000119,Blackcurrant Punnets,PR000002,0.855455,"{'cooccurrence': 0.745455, 'seasonality': 0.08, 'segment_popularity': 0.03, 'diversity_adjustment': 0.0}",P000083|P000113|P000120,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000007,community_group,co_occurrence_discovery,1,P000096,New Season Potatoes,PR000003,0.994798,"{'cooccurrence': 0.82, 'seasonality': 0.08, 'segment_popularity': 0.094798, 'diversity_adjustment': 0.0}",P000119|P000117|P000112,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000007,community_group,co_occurrence_discovery,2,P000097,Aged Farmhouse Cheddar,PR000004,0.856069,"{'cooccurrence': 0.72, 'seasonality': 0.08, 'segment_popularity': 0.056069, 'diversity_adjustment': 0.0}",P000090|P000137|P000140,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000007,community_group,co_occurrence_discovery,3,P000126,Mixed Salad Leaves,PR000009,0.772428,"{'cooccurrence': 0.6, 'seasonality': 0.08, 'segment_popularity': 0.062428, 'diversity_adjustment': 0.03}",P000139|P000094|P000112,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
