method,producer_id,recommendation_count,recommendation_share
co_occurrence_discovery,PR000002,18,0.1
co_occurrence_discovery,PR000003,53,0.29444444444444445
co_occurrence_discovery,PR000004,37,0.20555555555555555
co_occurrence_discovery,PR000005,7,0.03888888888888889
co_occurrence_discovery,PR000007,1,0.005555555555555556
co_occurrence_discovery,PR000008,26,0.14444444444444443
co_occurrence_discovery,PR000009,18,0.1
co_occurrence_discovery,PR000010,11,0.06111111111111111
co_occurrence_discovery,PR000011,8,0.044444444444444446
co_occurrence_discovery,PR000012,1,0.005555555555555556
segment_popularity_discovery,PR000002,21,0.11666666666666667
segment_popularity_discovery,PR000003,43,0.2388888888888889
segment_popularity_discovery,PR000004,25,0.1388888888888889
segment_popularity_discovery,PR000005,14,0.07777777777777778
segment_popularity_discovery,PR000007,5,0.027777777777777776
segment_popularity_discovery,PR000008,25,0.1388888888888889
segment_popularity_discovery,PR000009,19,0.10555555555555556
segment_popularity_discovery,PR000010,19,0.10555555555555556
segment_popularity_discovery,PR000011,7,0.03888888888888889
segment_popularity_discovery,PR000012,1,0.005555555555555556
segment_popularity_discovery,PR000013,1,0.005555555555555556
global_popularity_discovery,PR000002,21,0.11666666666666667
global_popularity_discovery,PR000003,55,0.3055555555555556
global_popularity_discovery,PR000004,43,0.2388888888888889
global_popularity_discovery,PR000005,4,0.022222222222222223
global_popularity_discovery,PR000008,2,0.011111111111111112
global_popularity_discovery,PR000009,37,0.20555555555555555
global_popularity_discovery,PR000010,15,0.08333333333333333
global_popularity_discovery,PR000011,3,0.016666666666666666
