branch,alpha,producer_id,recommendation_count,recommendation_share
quick_reorder,0.0,PR000002,12,0.06666666666666667
quick_reorder,0.0,PR000003,27,0.15
quick_reorder,0.0,PR000004,19,0.10555555555555556
quick_reorder,0.0,PR000005,21,0.11666666666666667
quick_reorder,0.0,PR000006,7,0.03888888888888889
quick_reorder,0.0,PR000007,7,0.03888888888888889
quick_reorder,0.0,PR000008,15,0.08333333333333333
quick_reorder,0.0,PR000009,22,0.12222222222222222
quick_reorder,0.0,PR000010,19,0.10555555555555556
quick_reorder,0.0,PR000011,21,0.11666666666666667
quick_reorder,0.0,PR000012,4,0.022222222222222223
quick_reorder,0.0,PR000013,6,0.03333333333333333
quick_reorder,0.05,PR000002,12,0.06666666666666667
quick_reorder,0.05,PR000003,26,0.14444444444444443
quick_reorder,0.05,PR000004,20,0.1111111111111111
quick_reorder,0.05,PR000005,21,0.11666666666666667
quick_reorder,0.05,PR000006,8,0.044444444444444446
quick_reorder,0.05,PR000007,7,0.03888888888888889
quick_reorder,0.05,PR000008,15,0.08333333333333333
quick_reorder,0.05,PR000009,20,0.1111111111111111
quick_reorder,0.05,PR000010,20,0.1111111111111111
quick_reorder,0.05,PR000011,21,0.11666666666666667
quick_reorder,0.05,PR000012,4,0.022222222222222223
quick_reorder,0.05,PR000013,6,0.03333333333333333
quick_reorder,0.1,PR000002,12,0.06666666666666667
quick_reorder,0.1,PR000003,25,0.1388888888888889
quick_reorder,0.1,PR000004,20,0.1111111111111111
quick_reorder,0.1,PR000005,21,0.11666666666666667
quick_reorder,0.1,PR000006,9,0.05
quick_reorder,0.1,PR000007,6,0.03333333333333333
quick_reorder,0.1,PR000008,15,0.08333333333333333
quick_reorder,0.1,PR000009,20,0.1111111111111111
quick_reorder,0.1,PR000010,20,0.1111111111111111
quick_reorder,0.1,PR000011,22,0.12222222222222222
quick_reorder,0.1,PR000012,4,0.022222222222222223
quick_reorder,0.1,PR000013,6,0.03333333333333333
quick_reorder,0.15,PR000002,12,0.06666666666666667
quick_reorder,0.15,PR000003,25,0.1388888888888889
quick_reorder,0.15,PR000004,20,0.1111111111111111
quick_reorder,0.15,PR000005,21,0.11666666666666667
quick_reorder,0.15,PR000006,9,0.05
quick_reorder,0.15,PR000007,6,0.03333333333333333
quick_reorder,0.15,PR000008,15,0.08333333333333333
quick_reorder,0.15,PR000009,20,0.1111111111111111
quick_reorder,0.15,PR000010,20,0.1111111111111111
quick_reorder,0.15,PR000011,22,0.12222222222222222
quick_reorder,0.15,PR000012,4,0.022222222222222223
quick_reorder,0.15,PR000013,6,0.03333333333333333
quick_reorder,0.2,PR000002,12,0.06666666666666667
quick_reorder,0.2,PR000003,25,0.1388888888888889
quick_reorder,0.2,PR000004,20,0.1111111111111111
quick_reorder,0.2,PR000005,22,0.12222222222222222
quick_reorder,0.2,PR000006,9,0.05
quick_reorder,0.2,PR000007,6,0.03333333333333333
quick_reorder,0.2,PR000008,16,0.08888888888888889
quick_reorder,0.2,PR000009,20,0.1111111111111111
quick_reorder,0.2,PR000010,18,0.1
quick_reorder,0.2,PR000011,22,0.12222222222222222
quick_reorder,0.2,PR000012,4,0.022222222222222223
quick_reorder,0.2,PR000013,6,0.03333333333333333
quick_reorder,0.3,PR000002,12,0.06666666666666667
quick_reorder,0.3,PR000003,25,0.1388888888888889
quick_reorder,0.3,PR000004,20,0.1111111111111111
quick_reorder,0.3,PR000005,23,0.12777777777777777
