method,producer_id,recommendation_count,recommendation_share
global_popularity,PR000003,120,0.6666666666666666
global_popularity,PR000004,60,0.3333333333333333
user_frequency,PR000002,15,0.08333333333333333
user_frequency,PR000003,20,0.1111111111111111
user_frequency,PR000004,20,0.1111111111111111
user_frequency,PR000005,23,0.12777777777777777
user_frequency,PR000006,7,0.03888888888888889
user_frequency,PR000007,9,0.05
user_frequency,PR000008,16,0.08888888888888889
user_frequency,PR000009,17,0.09444444444444444
user_frequency,PR000010,18,0.1
user_frequency,PR000011,19,0.10555555555555556
user_frequency,PR000012,7,0.03888888888888889
user_frequency,PR000013,9,0.05
frequency_recency,PR000002,12,0.06666666666666667
frequency_recency,PR000003,27,0.15
frequency_recency,PR000004,19,0.10555555555555556
frequency_recency,PR000005,21,0.11666666666666667
frequency_recency,PR000006,7,0.03888888888888889
frequency_recency,PR000007,7,0.03888888888888889
frequency_recency,PR000008,15,0.08333333333333333
frequency_recency,PR000009,22,0.12222222222222222
frequency_recency,PR000010,19,0.10555555555555556
frequency_recency,PR000011,21,0.11666666666666667
frequency_recency,PR000012,4,0.022222222222222223
frequency_recency,PR000013,6,0.03333333333333333
